Propertyname_name,Propertyname_address,Propertyname_price,Propertyname_Name,Propertyname_location,Propertyname_description,Propertyname_imageurl,Bathroom(s),Bedroom(s),Built-up area,Built-up price,Car Parks,Lot type,Property type,price_per_sqft
Bandar Baru Seri Alam,"Persiaran Seri Alam, Masai, Johor",1300.0,"Jalan Tasek, Bandari Seri Alam, Masai, Rumah Sewa, House For Rent","Bandar Baru Seri Alam, Masai, Johor","⭐House for rent
🔥Bandar Seri Alam @ Jalan Tasek
✅2 storey Low Cost
✅770 sf
✅3 rooms 2 baths
✅Fully extended with m...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDA3MDhfMTc0OTAzNjk3OV81RWRnUHJvNV9yZW50a2ltXzAucG5nIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IktJTSBTSU0iLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,2.0,3.0,770.0,RM 1/sqft,2.0,,low-cost house,1.6883116883116882
Bayu @ Pandan Jaya,"Pandan Jaya, Kuala Lumpur, 55100, Selangor, Pandan Jaya, Selangor",2100.0,Bayu @ Pandan Jaya,"Bayu @ Pandan Jaya, Pandan Jaya, Selangor","Bayu @ Pandan Jaya condominium,Pandan Jaya
Walking distant to Pandan Jaya LRT
- Block A
- built up 1080sf
- 3 rooms 2 baths
- 2 air cond, water heater
- kitchen tab...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDU0NjhfMTc0ODMzMzA2N181RWRnUHJvNV9waG90b18yMDE3MDQxM18yMDM5MzQxXzAuanBnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IktFTExZIExBSSIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,2.0,3.0,1100.0,RM 1/sqft,2.0,bumi lot,condominium,1.9090909090909092
Bayu Marina,"Jalan Bayu Puteri Off Jalan Pantai, Taman Bayu Puteri, Johor Bahru, Johor",1400.0,Bayu Marina,"Bayu Marina, Johor Bahru, Johor","For rent
Bayu Marina @ Permas Jaya
- studio
- built up 609 sf
- middle floor
- fully furnished
- newly painted
- new kitchen cabinet and sofa
- swimming pool+golf+river view
Renting RM 1.4K
Terrence Loh
016-7023183
REN24130",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDUzNzRfMTc0MDU0MDUwNF81RWRnUHJvNV9pbWdfMjAyNTAyMjZfMDk1ODIwXzAuanBnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IlRFUlJFTkNFIExPSCIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,1.0,3.0,609.0,RM 2/sqft,1.0,non bumi lot,condominium,2.2988505747126435
Bayu Marina,"Jalan Bayu Puteri Off Jalan Pantai, Taman Bayu Puteri, Johor Bahru, Johor",2200.0,Bayu Marina,"Bayu Marina, Johor Bahru, Johor","For rent
Bayu Marina @ Permas Jaya
- 3 bedrooms
- 2 bathrooms
- with L-shaped corner space
- built up 1406 sf
- level 17
- fully furnished
- swimming pool+golf+river view
Renting RM 2.2K
Terrence Loh
016-7023183
REN24130",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDUzNzRfMTczNjA4MDk1Ml81RWRnUHJvNV9pbWdfMjAyNTAxMDVfMTE0ODAwXzAuanBnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IlRFUlJFTkNFIExPSCIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,2.0,3.0,1406.0,RM 1/sqft,2.0,non bumi lot,condominium,1.5647226173541964
Bukit Indah 2,"Jalan Bukit Indah, Bukit Indah, Johor",2850.0,Taman Bukit Indah Double Storey Terrance For Rent/Partial Furnish,"Bukit Indah 2, Bukit Indah, Johor","For Rent (Taman Bukit Indah)
Address : Bukit Indah jalan Indah 24
Property type : Double Storey Terrace
Unit type : Intermediate
Bedroom : 4
Bathroom : 3
Furnishing : Partial
Facing : House
Neighbor: MOSTLY CHINESE
G&G : YES
For Rent: RM 2850 NEGO
Deposit:2+1+0.5",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDY3MDdfMTc0OTAxNjg0OF81RWRnUHJvNV9waG90bzIwMjUwNjA0MTM1NjU3MTRfMC5qcGVnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IlNURUxMQSBOQVJJVEEiLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,3.0,4.0,1555.224852071006,RM -,2.0,non bumi lot,terrace house,1.832532444556049
Conveniently located walking distance to KipMart,"Tampoi, Johor",1400.0,Conveniently located walking distance to KipMart,"Tampoi, Johor","For Rent
Riveria Condovilla @ Taman Tampoi Utama
- Built up area 1300 sqft
- 3 bedrooms
- 2 bathrooms
- Fully Furnished
Renting RM 1400
Terrence Loh
016-7023183
REN24130
*SF0486-230525",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDUzNzRfMTc0ODMxNTQ3MV81RWRnUHJvNV9pbWcyMDI1MDUyM3dhMDExN18wLmpwZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJURVJSRU5DRSBMT0giLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,2.0,3.0,1300.0,RM 1/sqft,2.0,,condominium,1.0769230769230769
D'Latour,"Bandar Sunway, Bandar Sunway, Selangor",1700.0,D'Latour,"D'Latour, Bandar Sunway, Selangor","Bandar Sunway
Dlatour
Room for rent
Fully furnished
Contact Victor Toh 019-2835399",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8yNjkwN18xNzQ5MTMyNzI3XzVFZGdQcm81X2ltZ18yMDI0MTAyM18xNDQwMjZfMC5qcGciLCJ2ZXJzaW9uIjoiMSIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJvdXRzaWRlIiwiaGVpZ2h0Ijo3MjB9LCJURVBXYXRlcm1hcmsiOnsib3B0aW9ucyI6eyJuYW1lIjoiVklDVE9SIFRPSCIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,1.0,1.0,80.0,RM 21/sqft,2.0,non bumi lot,condominium,21.25
"D'Suites , Akasia Horizon","No.9, Jalan Persiaran Selatan, Horizon Hills, 79100, Johor, Horizon Hills, Johor",2500.0,"D'Suites , Akasia Horizon","D'Suites , Akasia Horizon, Horizon Hills, Johor","For rent
D'Suites @ Horizon Hills
- 653 sf
- 1 bedroom
- 1 bathroom
- fully furnished
- swimming pool view
- low floor
Asking RM 2,500
Terrence Loh
0167023183
REN24130",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDUzNzRfMTcyMzQyOTg1N181RWRnUHJvNV8xNzIzNDI5ODU0MDU5XzAuanBnIiwidmVyc2lvbiI6IjEiLCJlZGl0cyI6eyJyZXNpemUiOnsiZml0Ijoib3V0c2lkZSIsImhlaWdodCI6NzIwfSwiVEVQV2F0ZXJtYXJrIjp7Im9wdGlvbnMiOnsibmFtZSI6IlRFUlJFTkNFIExPSCIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,1.0,1.0,653.0,RM 3/sqft,2.0,non bumi lot,condominium,3.8284839203675345
Desa ParkCity (SouthLake),"Desa ParkCity, Desa ParkCity, Kuala Lumpur",6800.0,Beautiful Home Renovated Extended Walking To The Waterfront,"Desa Parkcity (Southlake), Desa Parkcity, Kuala Lumpur","Southlake, Desa Parkcity, Kuala Lumpur
2 Storey Link House For Rent!
Land area : 22' x 75'
Built-up area : 2300 sft
3+1 Bedrooms 4 Bathr...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8yMjg4Nl8xNzQxNjg2MDMzXzVFZGdQcm81XzIwMjUwMzA4XzE4MDAwMV8wLmpwZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJKb3NoIENob25nICIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,4.0,4.0,2400.0,RM 2/sqft,2.0,non bumi lot,terrace house,2.8333333333333335
Eco Botanic,"Jalan Eco Botanik off Jlan Kampung Lalang, Iskandar Puteri (Nusajaya), Johor",5500.0,Corner lot next to garden,"Eco Botanic, Iskandar Puteri (Nusajaya), Johor","For Rent
Featherstone @ Eco Botanic
- 2 sty cluster house
- corner lot
- 40 x 75 sf
- next to walking garden
- fully furnished
Renting RM 5.5K (nego)
Terrence Loh
016-7023183
REN24130
*DL0163-250525",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDUzNzRfMTc0ODU5MDcyNF81RWRnUHJvNV9pbWcyMDI1MDUyNXdhMDA2MV8wLmpwZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJURVJSRU5DRSBMT0giLCJncmF2aXR5Ijoic291dGhlYXN0In19fX0=,5.0,5.0,2670.0,RM 2/sqft,2.0,non bumi lot,cluster house,2.059925093632959
Eco Botanic,"Jalan Eco Botanik off Jlan Kampung Lalang, Iskandar Puteri (Nusajaya), Johor",4200.0,Eco Botani Double Storey Terrace House For Rent/Renovated/fully furnish/4bed 3bath,"Eco Botanic, Iskandar Puteri (Nusajaya), Johor","🌟*For Rent*🌟
*Eco Botanic*
2-Storey Terrace House
-Land Size: 22x65
-Build Up : 1852 sqft
-4 be...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDY3MDdfMTc0ODk5Nzk0OV81RWRnUHJvNV9waG90bzIwMjUwNjA0MDcyMjExXzAuanBlZyIsInZlcnNpb24iOiIxIiwiZWRpdHMiOnsicmVzaXplIjp7ImZpdCI6Im91dHNpZGUiLCJoZWlnaHQiOjcyMH0sIlRFUFdhdGVybWFyayI6eyJvcHRpb25zIjp7Im5hbWUiOiJTVEVMTEEgTkFSSVRBIiwiZ3Jhdml0eSI6InNvdXRoZWFzdCJ9fX19,3.0,4.0,1555.224852071006,RM -,2.0,non bumi lot,terrace house,2.7005741288194405
Eco Nest @ Eco Botanic,"Off Eco Botanic, Nusajaya, Johor Bahru, 81200, Johor, Iskandar Puteri (Nusajaya), Johor",3500.0,Eco Nest @ Eco Botanic,"Eco Nest @ Eco Botanic, Iskandar Puteri (Nusajaya), Johor","For Rent
Eco Nest @ Eco Botanic
- 2 Bedroom
- 2 Bathroom
- 915 sqft
- Fully Furnished
- Good Condition
- Medium Floor
- 2 Car Park lot
- Good View
Rental: RM3500",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDY3MDdfMTc0ODk5ODIxNF81RWRnUHJvNV9waG90bzIwMjUwNjAyMjIxNDE1XzAuanBlZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJvdXRzaWRlIiwiaGVpZ2h0Ijo2MDB9fX0=,2.0,2.0,915.0,RM 3/sqft,1.0,non bumi lot,condominium,3.8251366120218577
Eco Sky,"Jalan Kuching, Taman Wahyu, 51200, Kuala Lumpur, Jalan Ipoh, Kuala Lumpur",2200.0,Eco Sky,"Eco Sky, Jalan Ipoh, Kuala Lumpur","KL Ecosky Residence Condo To Let. 11 km to KLCC. Cover Link Bridge to Commercial Hub, KTM & Bus Station. , eassy access to Highways.
Taman Wahyu EcoSky Residence Condo
~ Size : 1,087 sqft
~ 3 Rooms, 2 Bathrooms
~ 2 Car P...",https://d5dkjitd3iude.cloudfront.net/eyJidWNrZXQiOiJ3d3cudGhlZWRnZXByb3BlcnR5LmNvbS5teSIsImtleSI6InMzZnMtcHVibGljXC8xMDM1OTRfMTc0ODIyODIzOV81RWRnUHJvNV8yMDI1MDIyNF8xNTIxNTFfMC5qcGciLCJ2ZXJzaW9uIjoiMSIsImVkaXRzIjp7InJlc2l6ZSI6eyJmaXQiOiJvdXRzaWRlIiwiaGVpZ2h0Ijo3MjB9LCJURVBXYXRlcm1hcmsiOnsib3B0aW9ucyI6eyJuYW1lIjoiRUxBSU5FIExJTSIsImdyYXZpdHkiOiJzb3V0aGVhc3QifX19fQ==,2.0,3.0,1087.0,RM 2/sqft,2.0,,condominium,2.0239190432382705
