Propertyname_name,Propertyname_address,Propertyname_address_url,Propertyname_price,Propertyname_price_url,Propertyname_Name,Propertyname_location,Propertyname_description,Bathroom(s),Bedroom(s),Built-up area,Built-up price,Car Parks,Land area,Land area price,Lot type,Property type,Bedroom(s)_clean,Price_clean,Bathroom(s)_clean,Builtup_area_clean,CarParks_clean,state,city,state_score,city_multiplier,location_score,Price_capped,Builtup_area_capped,CarParks_capped,location_score_capped,price_per_sqft
Bandar Baru Seri Alam,"Persiaran Seri Alam, Masai, Johor",https://www.edgeprop.my/listing/sale/3439768/johor/masai/landed/terracehouse/seri-alam-jalan-rimba,"680,000",https://www.edgeprop.my/listing/sale/3439768/johor/masai/landed/terracehouse/seri-alam-jalan-rimba,seri alam jalan rimba,"Bandar Baru Seri Alam, Masai, Johor","【 Jalan Rimba 5x @ Bandar Seri Alam 】 双层排屋 ｜ 22x80 ｜ Unblock View 🩷🩷🩷 全装修美美 #装修超过100k 😍😍😍 #售价RM6xxK ‼️‼️‼️
For Sales
Jalan rimba 5x,Bandar seri alam 81750 Masai
❇️Double storey terrace ho...",,- BR,- sqft,RM -,,,,,Terrace House,,680000.0,,2207.0,2.0,Johor,Masai,0.9,0.8,0.7200000000000001,680000.0,2207.0,2.0,0.7200000000000001,308.11055731762576
Bandar Bukit Tinggi 2,"Klang, Selangor",https://www.edgeprop.my/listing/sale/3426686/selangor/klang/landed/terracehouse/2-storey-superlink-bukit-tinggi-2-beside-aeon-landmark-24x75-kitchen-extended-renovated-unit-gated-guarded-for-sale,"899,000",https://www.edgeprop.my/listing/sale/3426686/selangor/klang/landed/terracehouse/2-storey-superlink-bukit-tinggi-2-beside-aeon-landmark-24x75-kitchen-extended-renovated-unit-gated-guarded-for-sale,2 Storey Superlink Bukit Tinggi 2 (Beside Aeon & Landmark) 24x75 ⁠Kitchen Extended ⁠Renovated Unit Gated Guarded For Sale,"Bandar Bukit Tinggi 2, Klang, Selangor","WTS
Facing Field !!! 2 Storey Superlink Bukit Tinggi 2 (Beside Aeon & Landmark) Renovated Unit For Sale
Facing Field 🅿️‼️
- 2 Storey Superlink
- 2...",4 B,4 BR,"1,800 sqft",RM 499/sqft,,,,Non Bumi Lot,Terrace House,4.0,899000.0,4.0,1800.0,2.0,Selangor,Klang,0.95,0.95,0.9025,899000.0,1800.0,2.0,0.9025,499.44444444444446
Bandar Dato Onn,"Jalan Dato Onn, Johor Bahru, Johor",https://www.edgeprop.my/listing/sale/3279146/johor/johor_bahru/landed/terracehouse/bandar-dato-onn-double-storey-terrace-for-sales,"828,000",https://www.edgeprop.my/listing/sale/3279146/johor/johor_bahru/landed/terracehouse/bandar-dato-onn-double-storey-terrace-for-sales,Bandar Dato Onn Double Storey Terrace For Sales,"Bandar Dato Onn, Johor Bahru, Johor","For Sale 🍀🍀
🏡 Bandar Dato Onn @ Jalan Perjiranan 10 🏡
◾ Double Storey Terrace
◾ 4 Bedroom 3 Bathroom
◾ Land Size : 22 x 70
◾ Gated & Guard
◾ Guard Fee : Rm 70/Monthly
◾ Freehold
◾ Non Bumi Lot
◾ Car Porch With Tiles
◾ Facing South East
◾ Awning
◾ Auto Gated
💰 Selling Price RM 828K",3 B,4 BR,"1,540 sqft",RM 537/sqft,,,,Non Bumi Lot,Terrace House,4.0,828000.0,3.0,1540.0,2.0,Johor,Johor Bahru,0.9,0.9,0.81,828000.0,1540.0,2.0,0.81,537.6623376623377
Bandar Dato Onn,"Jalan Dato Onn, Johor Bahru, Johor",https://www.edgeprop.my/listing/sale/3430915/johor/johor_bahru/landed/terracehouse/jalan-perjiranan-9-bandar-dato-onn-double-storey-corner-lot,"1,300,000",https://www.edgeprop.my/listing/sale/3430915/johor/johor_bahru/landed/terracehouse/jalan-perjiranan-9-bandar-dato-onn-double-storey-corner-lot,Jalan Perjiranan 9 Bandar Dato Onn Double Storey Corner Lot,"Bandar Dato Onn, Johor Bahru, Johor","For Sales
Jalan Perjiranan 9/x Bandar dato onn, 81100 Johor Bahru
Double storey corner lot ( super bigger land )
4 Bedroom
4 Bath...",4 B,4 BR,"2,800 sqft",RM 464/sqft,,,,Non Bumi Lot,Terrace House,4.0,1300000.0,4.0,2800.0,2.0,Johor,Johor Bahru,0.9,0.9,0.81,1300000.0,2800.0,2.0,0.81,464.2857142857143
Bandar Mahkota Cheras,"Persiaran Mahkota Cheras, Cheras, Selangor",https://www.edgeprop.my/listing/sale/3438639/selangor/cheras/landed/terracehouse/2-storey-house-for-sale-bandar-mahkota-cheras,"488,000",https://www.edgeprop.my/listing/sale/3438639/selangor/cheras/landed/terracehouse/2-storey-house-for-sale-bandar-mahkota-cheras,2-Storey House For Sale Bandar Mahkota Cheras,"Bandar Mahkota Cheras, Cheras, Selangor","2-Storey House For Sale Bandar Mahkota Cheras
Super Cheap
Really Sell With Lelong Price
2-Storey Bandar Mahkota Cheras
4 Bedroom
3 Bathroom
Freehold
20x65
Non Bumi Lot
Basic Unit
No Facing House
Asking Rm488k
Felix Wong (REN13844)
01* 2328* 5852
PropNex Realty",3 B,4 BR,"1,800 sqft",RM 271/sqft,,,,Non Bumi Lot,Terrace House,4.0,488000.0,3.0,1800.0,2.0,Selangor,Cheras,0.95,0.8,0.76,488000.0,1800.0,2.0,0.76,271.1111111111111
Bandar Puchong Jaya,"Jalan Bandar Puchong Jaya, Puchong, Selangor",https://www.edgeprop.my/listing/sale/3298229/selangor/puchong/landed/terracehouse/taman-serindit-pusat-bandar-puchong-for-sale,"543,000",https://www.edgeprop.my/listing/sale/3298229/selangor/puchong/landed/terracehouse/taman-serindit-pusat-bandar-puchong-for-sale,"Taman Serindit, Pusat Bandar, Puchong For sale","Bandar Puchong Jaya, Puchong, Selangor","Double Storey House At Taman Serindit, Pusat Bandar, Puchong
Buildup : 15 X 55sqft
3 Bedrooms 2 Bathrooms
Main Door Facing South Direction
Freehold Property
Walking Distance To LRT Station (IOI ...",2 B,3 BR,825 sqft,RM 658/sqft,2 Car Parks,,,Non Bumi Lot,Terrace House,3.0,543000.0,2.0,825.0,2.0,Selangor,Puchong,0.95,0.95,0.9025,543000.0,825.0,2.0,0.9025,658.1818181818181
Bandar Puchong Jaya,"Jalan Bandar Puchong Jaya, Puchong, Selangor",https://www.edgeprop.my/listing/sale/3429479/selangor/puchong/landed/terracehouse/below-market-facing-more-parking-2-sty-jalan-bangau-bandar-puchong-jaya,"720,000",https://www.edgeprop.my/listing/sale/3429479/selangor/puchong/landed/terracehouse/below-market-facing-more-parking-2-sty-jalan-bangau-bandar-puchong-jaya,Below Market Facing More Parking 2 Sty Jalan Bangau Bandar Puchong Jaya,"Bandar Puchong Jaya, Puchong, Selangor","**Facing More Parking**
**Gated Guarded**
2 Sty Jalan Bangau Bandar Puchong Jaya
Freehold
20x75sf
4 rooms 3 toilet
Basic Unit
Selling price: RM 720,000
Jayden Lee ( REN24720)
016 239 8438",3 B,4 BR,- sqft,RM -,5 Car Parks,,,Non Bumi Lot,Terrace House,4.0,720000.0,3.0,2207.0,5.0,Selangor,Puchong,0.95,0.95,0.9025,720000.0,2207.0,5.0,0.9025,326.2347077480743
Bandar Puteri Klang,"Jalan Kerongsang, Klang, Selangor",https://www.edgeprop.my/listing/sale/3396212/selangor/klang/landed/terracehouse/2-sty-bandar-puteri-sanggul-renovated-unit-kitchen-extended-good-condition-for-sale,"665,000",https://www.edgeprop.my/listing/sale/3396212/selangor/klang/landed/terracehouse/2-sty-bandar-puteri-sanggul-renovated-unit-kitchen-extended-good-condition-for-sale,2 Sty Bandar Puteri Sanggul Renovated Unit Kitchen Extended Good Condition For Sale,"Bandar Puteri Klang, Klang, Selangor","2 Sty Bandar puteri sanggul Renovated Unit Kitchen Extended For Sale
Non Flood Area
20X75
4Bed 3B...",3 B,4 BR,"1,650 sqft",RM 403/sqft,,,,Non Bumi Lot,Terrace House,4.0,665000.0,3.0,1650.0,2.0,Selangor,Klang,0.95,0.95,0.9025,665000.0,1650.0,2.0,0.9025,403.030303030303
Bandar Putra Kulai,"Bandar Putra Kulai 81000 Kulai Johor, Kulai, Johor",https://www.edgeprop.my/listing/sale/3432988/johor/kulai/landed/terracehouse/jalan-ara-bandar-putra-kulai-double-storey-low-medium-cost,"320,000",https://www.edgeprop.my/listing/sale/3432988/johor/kulai/landed/terracehouse/jalan-ara-bandar-putra-kulai-double-storey-low-medium-cost,Jalan Ara Bandar Putra Kulai Double Storey Low Medium Cost,"Bandar Putra Kulai, Kulai, Johor","For Sale
Address : xx , Jalan Ara x, Bandar Putra ,81000 Kulai Johor
Bedroom : 3
Bathroom : 2
Type : Double Storey Low Medium cost
Intermediate
Freehold Non Bumi
Land size: 14x55ft
Facing : house
Selling RM320k
Kindly contact Jia Qi 01153613627
**no co broke unit**",2 B,3 BR,- sqft,RM -,,,,Non Bumi Lot,Terrace House,3.0,320000.0,2.0,2207.0,2.0,Johor,Kulai,0.9,0.8,0.7200000000000001,320000.0,2207.0,2.0,0.7200000000000001,144.99320344358858
Bandar Sri Damansara,"Jalan Saga SD 8, Petaling, Selangor",https://www.edgeprop.my/listing/sale/3418712/selangor/bandar_sri_damansara/landed/terracehouse,"980,000",https://www.edgeprop.my/listing/sale/3418712/selangor/bandar_sri_damansara/landed/terracehouse,[𝐅𝐎𝐑 𝐒𝐀𝐋𝐄] 𝟐 𝐒𝐓𝐎𝐑𝐄𝐘 𝐋𝐀𝐍𝐃𝐄𝐃 𝐇𝐎𝐔𝐒𝐄 𝐈𝐍 𝐁𝐀𝐍𝐃𝐀𝐑 𝐒𝐑𝐈 𝐃𝐀𝐌𝐀𝐍𝐒𝐀𝐑𝐀! - 𝐉𝐀𝐋𝐀𝐍 𝐒𝐀𝐆𝐀,"Bandar Sri Damansara, Petaling, Selangor","[𝐅𝐎𝐑 𝐒𝐀𝐋𝐄] 𝟐 𝐒𝐓𝐎𝐑𝐄𝐘 𝐓𝐄𝐑𝐑𝐀𝐂𝐄 𝐇𝐎𝐔𝐒𝐄 𝐈𝐍 𝐁𝐀𝐍𝐃𝐀𝐑 𝐒𝐑𝐈 𝐃𝐀𝐌𝐀𝐍𝐒𝐀𝐑𝐀!
Fully Extended, Freehold, Recently Vacant.
Location: Jalan Saga SD 8/1, Bandar Sri Damansara, 52200 Petaling Jaya, Selangor.
💥𝐏𝐑𝐎𝐏𝐄𝐑𝐓𝐘 𝐃𝐄𝐓𝐀𝐈𝐋𝐒:
Tenure: Free...",3 B,5 BR,"2,200 sqft",RM 445/sqft,,,,Non Bumi Lot,Terrace House,5.0,980000.0,3.0,2200.0,2.0,Selangor,Petaling,0.95,0.8,0.76,980000.0,2200.0,2.0,0.76,445.45454545454544
Bandar Sungai Long Bukit Sungai Long 1 / 5 Corner Lot Nearby Playground Well Kept Big Space 46 x 86 Below Market,"Jalan Bukit Sungai Long 1, Bandar Sungai Long, Selangor",https://www.edgeprop.my/listing/sale/3135176/selangor/bandar_sungai_long/landed/linkbungalow-semidetachedhouse/bandar-sungai-long-bukit-sungai-long-1-5-corner-lot-nearby-playground-well-kept-big-space-46-x-86-below-market,"1,650,000",https://www.edgeprop.my/listing/sale/3135176/selangor/bandar_sungai_long/landed/linkbungalow-semidetachedhouse/bandar-sungai-long-bukit-sungai-long-1-5-corner-lot-nearby-playground-well-kept-big-space-46-x-86-below-market,Bandar Sungai Long Bukit Sungai Long 1 / 5 Corner Lot Nearby Playground Well Kept Big Space 46 x 86 Below Market,"Bandar Sungai Long, Selangor","Bukit Sungai Long 1 / 5 CORNER L O T EXTRA LAND 2 sty SEMI - D FOR SALE
- LA 46 x 86 (Extra Land 16ft)
- BU 3800 sf
- 4 Bedrooms 1 Med Room 4 Bathrooms
- Fully Renovated
- Freehold Gated Guarded
Amen...",4 B,4 + 1 BR,"3,800 sqft",RM 434/sqft,5 Car Parks,,,Non Bumi Lot,Link Bungalow / Semi-Detached,5.0,1650000.0,4.0,3800.0,5.0,Selangor,Bandar Sungai Long,0.95,0.8,0.76,1650000.0,3800.0,5.0,0.76,434.2105263157895
Bangsar Bungalow for sale,"Bangsar, Kuala Lumpur",https://www.edgeprop.my/listing/sale/3060377/kuala_lumpur/bangsar/landed/bungalow-detachedhouse-villa/bangsar-bungalow-for-sale,"5,600,000",https://www.edgeprop.my/listing/sale/3060377/kuala_lumpur/bangsar/landed/bungalow-detachedhouse-villa/bangsar-bungalow-for-sale,Bangsar Bungalow for sale,"Bangsar, Kuala Lumpur",Near to Bangsar Shopping Centre.,5 B,7 + 1 BR,"5,498 sqft","RM 1,018/sqft",,,,,Bungalow / Detached House,8.0,5600000.0,5.0,5498.0,2.0,Kuala Lumpur,Bangsar,1.0,1.0,1.0,5600000.0,5498.0,2.0,1.0,1018.552200800291
Bayu Kemensah,"Kemensah Heights, Ulu Kelang, Taman Melawati, Selangor",https://www.edgeprop.my/listing/sale/2631776/selangor/taman_melawati/landed/bungalow-detachedhouse-villa/price-dropped-bayu-kemensah-endlot-luxury-stunning-interior-of-3-storey-bungalow-villa,"2,380,000",https://www.edgeprop.my/listing/sale/2631776/selangor/taman_melawati/landed/bungalow-detachedhouse-villa/price-dropped-bayu-kemensah-endlot-luxury-stunning-interior-of-3-storey-bungalow-villa,PRICE DROPPED! Bayu Kemensah ENDLOT Luxury & Stunning Interior of 3 Storey Bungalow Villa,"Bayu Kemensah, Taman Melawati, Selangor","PRICE DROPPED‼️
Bayu Kemensah Melawati END LOT Luxury Style 3 Storey Bungalow Villa FOR SALE
Fully Furnised
Stunning ID, Furniture & Fittin...",8 B,6 + 1 BR,"5,554 sqft",RM 428/sqft,4 Car Parks,,,Non Bumi Lot,Bungalow / Detached House,7.0,2380000.0,8.0,5554.0,4.0,Selangor,Taman Melawati,0.95,0.8,0.76,2380000.0,5554.0,4.0,0.76,428.5199855959669
Beverly Heights,"Beverly Heights 68000 Ampang Jaya Selangor, Ampang, Selangor",https://www.edgeprop.my/listing/sale/2352795/selangor/ampang/landed/linkbungalow-semidetachedhouse/end-lot-3-storey-semi-d-at-beverly-height--ampang,"2,800,000",https://www.edgeprop.my/listing/sale/2352795/selangor/ampang/landed/linkbungalow-semidetachedhouse/end-lot-3-storey-semi-d-at-beverly-height--ampang,"End Lot 3 Storey Semi-D at Beverly Height, Ampang","Beverly Heights, Ampang, Selangor","END LOT 3 Storey Semi-D
Beverly Height, Ampang
Details
======
- FREEHOLD
- New...",8 B,7 BR,"5,000 sqft",RM 560/sqft,2 Car Parks,,,,Link Bungalow / Semi-Detached,7.0,2800000.0,8.0,5000.0,2.0,Selangor,Ampang,0.95,0.8,0.76,2800000.0,5000.0,2.0,0.76,560.0
Beverly Hills,"Lorong Tanjung Bunga, Tanjung Bungah, Penang",https://www.edgeprop.my/listing/sale/3184688/penang/tanjung_bungah/landed/terracehouse/beverly-hill-terrace-house-tanjung-bungah-for-sale,"1,280,000",https://www.edgeprop.my/listing/sale/3184688/penang/tanjung_bungah/landed/terracehouse/beverly-hill-terrace-house-tanjung-bungah-for-sale,Beverly Hill Terrace House @ Tanjung Bungah [ FOR SALE ],"Beverly Hills, Tanjung Bungah, Penang","The Property Located At Tanjung Bungah.
-Beverly hill Terrace House
-Fully Renovated
-Land Area 1700sf
-Built Up 3100sf
-6 Bedroom
-For Sale Asking RM 1.28mil
Interested Buyer/Tenant Please Contact
Annabel Kuan
+6017-405 5919
IQI Realty",4 B,6 BR,"3,100 sqft",RM 412/sqft,,,,,Terrace House,6.0,1280000.0,4.0,3100.0,2.0,Penang,Tanjung Bungah,0.95,0.8,0.76,1280000.0,3100.0,2.0,0.76,412.9032258064516
Bukit Indah 2,"Jalan Bukit Indah, Bukit Indah, Johor",https://www.edgeprop.my/listing/sale/3381710/johor/bukit_indah/landed/terracehouse/taman-bukit-indah-corner-lot-limited-coner-lot-zone-8,"1,200,000",https://www.edgeprop.my/listing/sale/3381710/johor/bukit_indah/landed/terracehouse/taman-bukit-indah-corner-lot-limited-coner-lot-zone-8,Taman Bukit Indah Corner Lot / Limited Coner Lot / Zone 8,"Bukit Indah 2, Bukit Indah, Johor","for sale
bukit indah 8
2 story terrace (corner lot)
Built up : 2000sqft (include extend)
Land area : 40x70
Rooms: 4 bedroom 3 bathroom
Corner
individual
international
Partially furnish
Freehold
Gated & guarded rm100
Asking price : rm1.2mil view to offer
Living Hall Extend",3 B,4 BR,"2,000 sqft",RM 600/sqft,,,,Non Bumi Lot,Terrace House,4.0,1200000.0,3.0,2000.0,2.0,Johor,Bukit Indah,0.9,0.8,0.7200000000000001,1200000.0,2000.0,2.0,0.7200000000000001,600.0
